,Title,Text
0,Keluarga Awak KRI Nanggala Menanti Berita,"Jakarta - KRI Nanggala 402 hilang kontak saat menggelar latihan di laut utara Bali. Hingga kini, keluarga awak KRI Nanggala 402 masih menanti kabar sanak saudaranya."
1,Momen Penyidik KPK Stepanus Digiring dan Diborgol,"Jakarta - Penyidik KPK Stepanus Robin Pattuju ditetapkan jadi tersangka kasus suap Wali Kota Tanjungbalai, M Syahrial. Begini momen saat Steppanus digiring dan diborgol."
2,MINI Countryman Made in Indonesia Mejeng di IIMS Hybrid 2021,"Dengan konsep eksterior yang tegas, interior yang lapang dan serbaguna dengan lima kursi yang lengkap, pasti akan penuhi kebutuhan dan antusiasme penggunanya - tidak hanya dalam lalu lintas sehari-hari tetapi juga dalam perjalanan jarak jauh dan bahkan saat bertualang di kondisi jalan yang menantang."
3,Patung Garuda Wisnu Kencana Versi Mini Ini Dijual Rp 35 Juta Lho,"Sukoharjo - Perajin membuat Patung Wahyu Kencana di rumahnya Tempel, Sukoharjo. Patung ini sengaja dipesan mirip dengan Patung Garuda Wisnu Kencana dengan harga 35 Juta."
4,10 Momen Manis Pria Asal Jember yang Viral Menikahi Bule Australia,"Australia - Kisah asmara pria dari Jember, Jawa Timur yang sukses memikat hati bule asal Australia ini viral. Intip deretan momen manis sang pria Jember dan wanita bule."
5,10 Artis Wanita Paling Cantik di Usia 40-an Menurut Survei,"Jakarta - Makin matang usia, para wanita ini justru semakin terlihat menarik. Ini 10 artis wanita paling cantik di usia 40-an. Berurutan dari nomor sepuluh sampai satu."
6,Deretan Mobil Mewah Milik Tersangka EDCCash Disita Polisi,Jakarta - Polisi menyita deretan mobil mewah milik tersangka kasus investasi bodong EDCCash. Begini penampakannya.
7,"Ini Foto-foto Ervina Lubis, Warga Riau yang Hilang dan Disayembarakan","riau - Khairuddin, warga Rokan Hulu, Riau, tengah membuat sayembara untuk mencari istrinya Ervina Lubis yang hilang. Ini momen saat Ervina Lubis masih bersama keluarga"
8,5 Calon Pengganti Edinson Cavani di MU,"Keempat adalah Andre Silva. Penyerang berusia 25 tahun ini sempat tenggelam bersama AC Milan dan dua musim terakhir bangkit bersama Eintracht Frankfurt di Bundesliga. Sejauh musim ini, sudah mengemas 24 gol dari 28 laga di liga (Getty Images)"
9,"Serasa Nyetir Bajaj, Ini Piaggio Ape City Seharga Rp 75 Juta","Jakarta - Piaggio Ape City merupakan kendaraan roda tiga brand Italia yang dirakit di India. Bentuknya mirip kendaraan angkutan orang yang bersliweran di Jakarta, Bajaj."
10,"Larangan Mudik Diperketat, Begini Kondisi di Terminal Kalideres","Jakarta - Pemerintah memperpanjang aturan larangan mudik dimulai dari 22 April - 24 Mei 2021. Begini kondisi di Terminal Kalideres, Jakarta Barat, Jumat (23/4/2021)."
11,10 Potret Pembelot Korut Cantik yang Jadi Target Incaran Kim Jong Un,Jakarta - Yeonmi Park adalah pembelot Korea Utara yang kini tinggal di Amerika. Aktivis cantik tersebut mengaku telah lama jadi target incaran Kim Jong Un.
12,"8 Potret Ilhoon eks BTOB, Ngaku Pakai Ganja Kini Minta Maaf Mau Tobat","Jakarta - Dalam sidang pertamanya, Ilhoon mengaku telah menggunakan ganja selama dua tahun. Intip potret dan sederet fakta eks member BTOB ini."
13,Masjid Unpam Ini Ramah Lingkungan dan Sejuk Meski Tanpa AC,Bagian dalam bangunan terdapat beberapa void dan taman kecil di balik dinding roster yang membuat udara adem.
14,NCT DREAM 'Pedas Menggigit' di Teaser Foto Hot Sauce,Jakarta - NCT DREAM akan kembali dengan merilis album penuh pertama berjudul Hot Sauce. Para member pun telah merilis teaser foto masing-masing yang penuh warna.
15,Canggih! Energi Surya Ini Bisa Ubah Air Danau Jadi Air Minum,"Kolaborasi ini dilakukan antara PT Surya Utama Nuansa (SUN Energy) dengan Badan Pengelola Pariwisata Batur UNESCO Global Geopark. Proses penyaringan air danau yang menggunakan pompa membran reverse osmosis ini dapat menyaring ion logam yang terkandung pada air danau. Teknologi penyaringan air memanfaatkan energi matahari sebagai penggerak pompa dan filter sehingga lebih hemat, efisien, serta ramah lingkungan. Foto: dok. Goepark Gunung Batur"
16,"Parah! Sudah Ada Plang Larangan, Sampah Tetap Menumpuk","Jakarta - Sampah menumpuk di pinggir Tol Jati Warna, Kota Bekasi. Padahal di lokasi itu terdapat plang larangan membuang sampah sembarangan."
17,Lapeh Salero Nikmatnya Berbuka di Food Sreet Senen,"Jakarta - Hidangan minang menjadi salah satu buruan warga untuk menikmatik berbuka puasa. Nah, salah satunya ada di kawasan Food Street Kramat, Jakarta Pusat."
18,7 Jam Menari Tanpa Henti Demi Memperingati Hari Bumi,"Sejumlah penari menampilkan tarian teatrikal tentang alam pada peringatan Hari Bumi di Taman Hutan Raya Juanda, Kabupaten Bandung, Jawa Barat, Kamis (22/4/2021)."
19,Singapura-Malaysia Kirim Kapal Canggih Bantu Cari KRI Nanggala,"Selain Singapura, Kepala Staf TNI Angkatan Laut (KSAL) Laksamana Yudo Margono mengatakan negara-negara yang tergabung dalam Konferensi Kapal Selam siap membantu pencarian. Salah satunya kapal dari Malaysia yang sudah berangkat. Kementerian Pertahanan Malaysia mengirim MV Mega Bakti yang bertolak dari pangkalan angkatan laut Teluk Sepanggar di Sabah, Malaysia, Kamis (22/4/2021) waktu setempat. Lalu Australia juga menyatakan siap membantu proses pencarian kapal selam KRI Nanggala-402. Malaysian Defense Ministry via AP"
20,Awas! Hati-hati Melintasi Trotoar Bolong di Jalan Ini,"Jakarta - Trotoar yang ada di Jalan KH Mas Mansyur terlihat ada bolong dan membahayakan pengguna jalan. Diketahui, bolongnya itu diduga terjadi imbas proyek galian."
21,Steampunk Submarine Bar Gaya Kapal Selam yang Memukau,6th-Sense Interiors datang membawa ide membangun sebuah bar dengan tema desain kapal selam sesuai dengan impian salah satu klien mereka.
22,Mengintip Jeroan Kapal Selam Era Soviet yang Terbengkalai,"Melewati lorong sempit tampak kompartemen dengan mesin diesel, penerima radio di mana pesan terenkripsi sekali bisa dikirim dan diterima, titik informasi pusat, set RADAR dan SONAR, juga sebagai periskop serangan yang digunakan untuk mencari dan melakukan pelacakan target."
23,"Mengenal Rembrandt, Pelukis Masyhur dari Belanda","Salah satu karya Rembrandt yang banyak penafsiran adalah lukisan dengan judul “The Jewish Bride”. Ada pendapat lukisan ini menggambarkan pengantin perempuan dan ayahnya, sementara versi lain menyebut lukisan itu menggambarkan anaknya Titus dan isterinya Magdalena yang digambarkan pada kanvas. Ada juga versi yang mengatakan bahwa plot kanvas lukisan itu berdasarkan gambar kolektif pasangan alkitabiah yang terkenal - Yehuda dan Tamar, Ishak dan Rebecca."
