,Title,Text
0,"Pasien Bertambah, Hari Ini RSD Wisma Atlet Merawat 1.587 Orang","SETELAH sempat menurun ke angka terendah, kini pasien Covid-19 yang dirawat di Rumah Sakit Darurat (RSD) Wisma Atlet Kemayoran, Jakarta Pusat, kembali bertambah dalam beberapa waktu terakhir.

Data terbaru pada Kamis (22/4) pagi pukul 08.00 WIB, terdapat 1.587 pasien Covid-19 tengah dirawat di RSD tersebut. Jumlahnya bertambah dibanding data kemarin.

""Jumlahnya bertambah 73 orang dari hari kemarin. Semula 1.514 menjadi total 1.587 orang,"" kata Humas RSD Wisma Atlet, Kolonel Marinir, Aris Mudian, di Jakarta, Kamis (22/4).

Aris menambahkan, pasien Covid-19 di RSD Wisma Atlet meningkat jumlahnya diduga efek dari liburan panjang Paskah beberapa pekan lalu.

Aris merinci pasien yang tengah dirawat itu meliputi sebanyak 774 laki-laki dan 813 perempuan. Mereka mengalami gejala ringan hingga sedang dan dirawat di empat tower yakni tower 4, 5, 6 dan 7.

Keempat tower itu memiliki kapasitas sebanyak 5.994 tempat tidur, sehingga saat ini keterisian tempat tidur di RSD Wisma Atlet adalah 26,4 persen. Meski demikian, terdapat sebanyak 4.407 tempat tidur yang masih tersisa atau 73,6 persen.

Okupansi atau keterisian RSD Wisma Atlet pekan ini mengalami kenaikan sedikit dibandingkan data pekan lalu. Komandan Lapangan RSD Wisma Atlet Kemayoran, Letkol Laut Muhammad Arifin, menyebutkan, bisa jadi kenaikan ini karena efek libur paskah pada awal April.

Arifin mengatakan, update data pada 21 April jumlah kasusnya bertambah sebanyak 602, kasus aktif Covid-19 di Jakarta kini totalnya 6.440 orang.

Arifin mengimbau masyarakat untuk tidak lengah dan disiplin menerapkan protokol kesehatan (prokes) untuk pencegahan Covid-19.

Sementara itu, sejak beroperasi 23 Maret 2020 hingga hari ini, akumulasi pasien yang dirawat di RSD Wisma Atlet mencapai sebanyak 80.468 orang. Pasien yang sudah ke luar sebanyak 78.881 orang dengan rincian pasien rujuk ke RS lain 801 orang, pasien sembuh 77.993 orang, dan meninggal 87 orang. (OL-8)"
1,Di Sleman Muncul Klaster Covid Jongke,"SEBANYAK 35 warga Padukuhan Jongke Kidul, Kalurahan Sendangadi, Mlati, Sleman terpapar covid-19. Bahkan, dua warga meninggal dunia karena covid meski dengan catatan komorbid atau penyerta.

Ketua Gugus Tugas Kalurahan Sendangadi, Mlati, Sleman, Parjiono, menerangkan, dari 35 warga sebagian besar sudah sembuh dan selesai menjalani isolasi mandiri.

""Kami saat ini berusaha keras untuk memutus mata rantai dengan melaksanakan rapid test, rapid antigen, dan swab PCR,"" tuturnya di Balai Dukuh Jongke Kidul, Kamis (22/4/2021).

Ia mengatakan, proses tracing ini menyasar warga yang kontak erat. Untuk undangan sebanyak 300 orang dan dibagi dua hari pelaksanaan, Kamis-Jumat

(23/4/2021), per harinya 150 orang.

""Untuk runtutan kejadian, ada keluarga demam dan tidak enak badan lalu swab mandiri di rumah sakit, ketahuan positif. Begitu ada kejadian, kita tracing, lalu berkembang,"" imbuhnya.

Parjiono menyebut kalau ada yang positif, langsung isolasi mandiri. Selain itu, pembatasan kegiatan sosial masyarakat diperpanjang dari hari Selasa (20/4/2021) sampai Minggu (25/4/2021). ""Bagi yang isolasi mandiri, ada jadup (jaminan hidup) sembako bahan pangan,"" katanya.

Sementara Kepala Puskesmas Mlati I Sleman dr Ernawati menerangkan, screening dilakukan di RW 24, khususnya RT 5, 6, 7, dan 8. ""Saat ini, kita adakan screening, rapid antigen, rapid antibodi, dan swab PCR sesuai dengan waktu kapan mereka kontak,"" jelasnya.

Untuk menentukan jenis rapid warga, Ernawati menyebut untuk warga yang kontak lebih dari seminggu dilakukan rapid antigen, lalu untuk kontak yang masih dalam satu minggu, dilakukan antibodi, sedangkan kalau ada warga yang bergejala, langsung swab PCR. ""Untuk rapid antigen yang reaktif, ada 4 warga yang lanjut ke PCR,"" katanya. (OL-13)

Baca Juga: Pasien Bertambah, Hari Ini RSD Wisma Atlet Merawat 1.587 Orang"
2,Penyelenggara Olimpiade Laporkan Kasus Covid-19 dari Kirab Obor,"PENYELENGGARA Olimpiade Tokyo melaporkan kasus covid-19 pertama muncul dari kluster acara kirab obor nasional.

Seorang pria yang tidak disebutkan namanya, berusia sekitar 30 tahun, diketahui telah mengambil bagian dalam acara kirab obor Olimpiade Tokyo di Pulau Barat Shikoku. Belakangan, dia dinyatakan positif covid-19.

Dengan kejadian tersebut, penyelenggara berjanji akan bekerja sama dengan otoritas kesehatan untuk melakukan tindakan pencegahan dalam estafet obor yang aman.

Baca juga: Jepang Pangkas Tamu Olimpiade Hanya 30 Ribu Orang

Laporan itu merupakan kasus covid-19 pertama yang ditemukan dalam acara kirab obor. Acara di beberapa daerah terpaksa tidak dilanjutkan, karena khawatir menjadi penyebab penyebaran covid-19.

Kota bersejarah Kyoto merupakan salah satu kota yang ragu untuk menyelenggarakan kirab obor. Media lokal melaporkan bahwa pemerintah daerah akan meminta acara tersebut untuk digelar jauh dari ruas jalan umum.

Baca juga: Fakta-Fakta Unik Kirab Obor Olimpiade

Beberapa waktu lalu di Osaka, acara kirab obor yang semestinya berlangsung di jalan umum, kemudian dipindahkan ke lapangan tertutup tanpa penonton. Sementara itu, wilayah Okinawa dan Matsuyama juga membatalkan penyelenggaraan kirab obor secara publik, karena khawatir dengan lonjakan kasus covid-19.

Penyelenggara bersikeras bahwa kirab yang melibatkan 10.000 pelari dan melewati 47 prefektur, dapat diselenggarakan dengan aman di bawah protokol kesehatan ketat. Diketahui, estafet kirab obor Olimpiade sudah dimulai sejak 25 Maret lalu di Fukushima, yang mana digelar tanpa penonton.(OL-11)

"
3,Rumah Dinas Komandan KRI Nanggala-402 Ramai Didatangi Kolega,"RUMAH dinas Komandan Kapal Selam KRI Nanggala-402, Letkol Laut (P) Heri Oktavian di Desa Tebel Kecamatan Gedangan Kabupaten Sidoarjo banyak didatangi kolega dan tetangga, Kamis (22/4). Pihak keluarga juga menggelar pengajian mendoakan keselamatan bagi seluruh kru KRI Nanggala-402 yang hingga kini masih dalam pencarian.

Namun awak media tidak diperkenankan mendekat mengambil gambar oleh salah anggota TNI-AL. Seorang anggota TNI mengatakana mendapat perintah dari atasan untuk melarang awak media mendekati rumah Heri Oktavian.

Seperti diketahui KRI Nenggala 402 hilang kontak diperairan Bali pada Rabu (21/4). Kapal selam yang diawaki 53 personel itu hilang kontak saat berada di perairan Bali saat melakukan latihan. Hingga kini, pencarian KRI Nanggala-402 masih berlangsung. (OL-15)"
4,KLHK Sita Puluhan Satwa Dilindungi di Bali,"TIM Operasi Gabungan Balai Gakkum Kementerian Lingkungan Hidup dan Kehutanan (KLHK) Wilayah Jawa Bali dan Nusa Tenggara (Jabalnusra) bersama Balai Konservasi Sumber Daya Alam (BKSDA) Bali, Polda Bali dan TNI berhasil menyita 24 ekor burung tergolong jenis yang dilindungi, dan mengamankan pria berinisial INS,47, di Desa Jln Kartika Plasa, GG Manga BR Anyar, Kuta, Bali, Rabu (21/4/2021).

Burung-burung yang disita 2 ekor kakatua seram, 8 ekor kakatua putih jambul kuning, 7 ekor nuri bayam, 2 ekor nuri kepala hitam, 3 ekor jalak putih, 2 ekor jalak bali. Burung dilindungi itu dititip-rawat di Taman Konservasi Satwa Tabanan.

Tim operasi gabungan telah menyerahkan kasus ini ke penyidik Balai Gakkum KLHK Wilayah Jabalnusra untuk proses penyidikan lebih lanjut.

Kepala Balai Gakkum Wilayah Jabalnusra, Muhammad Nur pada keterangan tertulisnya, kamis (22/4/2021) menyampaikan bahwa saat ini penyidik masih mendalami modus operandi kasus ini untuk mencari dan menelusuri jaringan perdagangan satwa dilindungi tersebut.

Direktur Pencegahan dan Pengamanan Hutan Kementerian LHK, Sustyo Iriyono menegaskan bahwa pihaknya akan menindak tegas setiap pengedar satwa dilindungi.

""Kami juga menghimbau agar masyarakat memantau dan mengawasi peredaran satwa dilindungi, juga melaporkan ke Balai Gakkum KLHK atau Ke BKSDA,"" terang Sustyo.

Sustyo menambahkan,“Kami akan bekerjasama lebih intensif dengan berbagai lembaga, otoritas dan masyarakat untuk mendukung gerakan bersama penurunan kejahatan perdagangan illegal dan perburuan Tumbuhan Satwa Liar dilindungi di seluruh lokasi di Tanah Air.""

Penyidik akan menjerat pelaku dengan Pasal 21 Ayat 2 Huruf a Jo. Pasal 40 Ayat 3, Undang-Undang No 5 Tahun 1990 tentang Konservasi Sumber Daya Alam dan Ekosistemnya, dengan ancaman hukum penjara maksimal 5 tahun dan denda maksimal Rp 100 juta.

Operasi gabungan ini berawal dari pengaduan masyarakat yang ditindaklanjuti dengan pengumpulan data dan informasi sejak tanggal 19 April 2021. Hasil dari pengumpulan data dan informasi dipastikan ada usaha penampungan satwa dilindungi di Desa Jln Kartika Plasa, GG Manga, BR Anyar, Kuta, Bali. Operasi Gabungan dilaksanakan 21 April 2021.(RO/OL-09)"
5,"Dinilai Menggiring Saksi, Rizieq Shihab Murka Di Persidangan","TERDAKWA kasus pelanggaran protokol kesehatan (prokes) yang menimbulkan kerumunan di Petamburan, Jakarta, Rizieq Shihab murka dalam ruang sidang. Mantan pentolan Front Pembela Islam (FPI) itu tidak terima dinilai menggiring pernyataan saksi oleh Jaksa Penuntut Umum (JPU).

Awal mulanya peristiwa itu terjadi saat sidang lanjutan terkait kasus kerumunan tersebut Rizieq engah melayangkan pertanyaan kepada saksi yang dihadirkan oleh Jaksa yaitu Kasatpol PP DKI Jakarta Arifin.

Rizieq saat itu meminta Arifin untuk menjelaskan terkait seluruh pelanggaran akibat kegiatan Maulid Nabi Muhammad.

""Selain di Petamburan, apakah ada kegiatan Maulid Nabi Muhammad sepengetahuan anda yang dibawa ke pengadilan seperti begini?,"" ungkap Rizieq kepada Arifin.

Arifin pun menjawab pertanyaan Rizieq dengan mengatakan belum pernah menemukan kasus terkait. ""Yang saya tahu, saya belum pernah (mengetahui),"" respons Arifin kepada Rizieq.

Ketika Rizieq dan Arifin tengah asyik berbicara, tiba-tiba terdapat satu jaksa yang memotong komunikasi keduanya.

Jaksa mengatakan bahwa pertanyaan yang dilayangkan Rizieq telah menggiring saksi untuk menjawab sesuai dengan kemauan Rizieq. ""Izin majelis, kami keberatan terdakwa telah mengarahkan atau menggiring saksi,"" ucap Jaksa.

Kejadian adu mulut pun tak terhindarkan dalam ruang sidang. Rizieq dengan jaksa saling melayangkan pertanyaan terkait pernyataan soal penggiringan itu.

Tak hanya itu, Rizieq juga terpancing emosi lalu berdiri dan menunjuk jaksa dengan mengeluarkan suara yang lantang. ""Ini bukan menggiring. Ini pertanyaan, di mana menggiringnya?,"" ucap Rizieq.

""Anda memidanakan Maulid Nabi, itu hanya khawatir! Anda khawatir, Anda ketakutan!"" tutur Rizieq.

Menanggapi hal itu, Majelis Hakim Suparman Nyompa mengatakan bahwa pertanyaan yang dilayangkan Rizieq bukan menggiring bahkan masih bersifat normal.

""Kalau menggiring itu kan memang dilarang, tapi itu tadi pertanyaan masih normal-normal saja,"" tutur Nyompa menengahkan.

Rizieq menegaskan kepada Majelis Hakim bahwa pertanyaan yang dilayangkan itu bukan bermaksud untuk menekan saksi Arifin.

""Majelis hakim melihat dari tadi, saya bertanya santai, saya tidak menekan, tiba tiba ada potongan (pernyataan keberatan dari saksi),"" tandas Rizieq. ""Sudah sudah (berhenti perdebatan),"" pungkas Majelis Hakim. (OL-15)"
6,PT LIB Berharap Izin Liga 1 Keluar Mei,"MENJELANG berakhirnya turnamen pramusim Piala Menpora, PT Liga Indonesia Baru (PT LIB) akan segera mengurus perizinan untuk kompetisi Liga 1 dan 2. Direktur Utama PT LIB Akhmad Hadian Lukita berharap agar izin liga 1 terbit awal Mei mendatang.

Ia menuturkan untuk proses perizinan tersebut tentu membutuhkan rekomendasi dari pihak Kementerian Pemuda dan Olahraga sebagai bagian dari lampiran pengajuan perizinan ke pihak Kepolisian.

Akhmad pun menuturkan Menpora meminta dilakukan kajian singkat dari PT LIB terkait pertandingan tanpa penonton, dengan penonton sebagian atau meningkat secara bertahap.

“Kita sedng buat mudah mudahan dalam waktu dekat kita sudah serahkan ke kemenpora dan setelah itu akan ada rekomendasi dan baru akan diserahkan ke kepolisian,” ujar Akhmad saat dihubungi Media Indonesia, Kamis (22/4).

“Nanti kepolisian tentu akan melihat kembali proposal terkait di mana lokasi dan jadwalnya seperti apa. Harapan kita sih sebetulnya awal Mei sudah ada izinnya,” imbuh Akhmad.

Salah satu pertimbangan dari Akhmad terkait izin yang terbit pada bulan Mei terkait dengan persiapan bagi pelaksanaan Liga 1 baik itu untuk operator maupun dari klub. Menurutnya dengan rencana Liga 1 dimulai pada 3 Juli 2021, idealnya perlu jeda waktu setidaknya dua bulan untuk persiapan kompetisi.

“Rencananya liga dimulai pada tanggal 3 Juli sehingga kita mengharapkan izin dapat keluar pada bulan Mei. Kita mengharapkan izin dapat keluar satu bulan lebih sebelum liga dimulai, sebab berkaca dari pelaksanaan Piala Menpora yang jaraknya hanya satu bulan itu waktunya sangat pendek untuk melakukan persiapan baik itu untuk operator maupun untuk klub. Sebab sudah barang tentu ada banyak persiapan yang harus dilakukan sebelum dimulainya liga,” ujar Akhmad.

Akhmad juga membenarkan untuk proses tahapan pengajuan izin ini memang diperlukan rapat koordinasi dengan Kemenpora dengan semua stakeholder guna mendapat rekomendasi dari Kemenpora.

Untuk rapat koordinasinya sendiri rencananya akan digelar dalam waktu dekat. Akhmad pun menuturkan kemungkinan proses pengajuan izin akan dikebut pasca Piala Menpora. (OL-13)

Baca Juga: Dongkrak Kekuatan Tim, Borneo FC Daratkan Paulo Sitanggang"
7,KPK Periksa Penyidik yang Diduga Peras Wali Kota Tanjungbalai,"KOMISI Pemberantasan Korupsi (KPK) memeriksa oknum penyidik yang diduga memeras Wali Kota Tanjungbalai M Syahrial. Sebelumnya, penyidik KPK asal kepolisian berinisial AKP SR itu ditangkap tim Propam Polri dan KPK.

""Setelah diamankan, tim penyelidik KPK tengah melakukan pemeriksaan terhadap oknum tersebut. Kami memastikan penanganan perkara dugaan penerimaan uang akan diusut sendiri oleh KPK secara transparan,"" pungkas Plt Juru Bicara KPK Ali Fikri, Kamis (22/4).

Baca juga: Penyidik KPK Terduga Pemeras Wali Kota Tanjungbalai Diamankan

Lembaga antirasuah dikatakannya terus mengumpulkan sejumlah bukti dan meminta keterangan terkait dugaan penerimaan uang oleh penyidik berinisial AKP SR. Diduga, penyidik itu meminta uang sebesar Rp1,5 miliar, dengan janji menghentikan perkara yang menjerat Wali Kota Tanjungbalai.

Adapun KPK memang tengah menyidik kasus dugaan jual-beli jabatan. Secara bersamaan, Dewan Pengawas KPK juga akan memeriksa dugaan pelanggaran etik yang dilakukan penyidik tersebut.

""Kami tegaskan bahwa KPK tidak memberikan toleransi terhadap tindakan koruptif dan pelanggaran kode etik, yang dilakukan oleh setiap insan KPK,"" imbuh Ali.(OL-11)"
8,Penyanyi Raisa Turut Vaksinasi Covid-19 di Balai Kota DKI,"PENYANYI asal 'Kota Kembang' Raisa Andriana turut menjadi salah satu pekerja seni yang mendapatkan vaksinasi Covid-19 yang digelar oleh Pemprov DKI Jakarta di Balai Kota hari ini.

Ia berpendapat dunia seni sangat terdampak pandemi Covid-19 karena interaksi dibatasi dan kerumunan dilarang. Sehingga, konser-konser atau kegiatan mengumpulkan orang tidak mungkin dilakukan, padahal di balik sebuah acara konser, banyak aspek yang juga terdampak.

“Menurut saya, industri musik dan seni adalah salah satu industri yang terdampak lumayan parah dari covid-19 karena tidak bisa menggelar pertunjukan maupun syuting,"" jelas Raisa.

""Yang terdampak mungkin banyak yang nggak kelihatan, karena bukan sekadar kami saja yang ada di atas panggung, tapi seluruh industrinya. Misalnya, rental alat musik, EO, pekerja panggung, security, petugas kebersihan konser, itu semua terdampak,” paparnya, Kamis (22/4).

Selain itu, komedian senior, Denny Chandra, menyampaikan apresiasi kepada Pemprov DKI Jakarta yang telah menggelar vaksinasi untuk pekerja seni dan berharap kegiatan ini dapat menggerakkan roda perekonomian, khususnya bisnis seni dan hiburan.

Selain itu, Denny juga mengingatkan agar pekerja seni yang telah divaksin tetap mematuhi protokol kesehatan, karena risiko terpapar tetap ada meskipun dampaknya tak separah yang belum divaksin.

“Moga-moga ini jadi salah satu jalan keluar bagi kita untuk menggerakkan ekonomi terutama di bidang entertain, karena pekerja seninya dapat bekerja seperti semula menghasilkan karya yang bermanfaat,” terang Denny.

“Saya ingatkan, apabila kita sudah divaksin, bukan berarti kita seenaknya. Kita harus jaga prokes, karena potensi keterpaparan tetap ada. Sehingga, tetap lakukan 3M, yakni mencuci tangan dengan sabun, memakai masker, dan menjaga jarak, serta menghindari kerumpian, karena kerumunan menghasilkan ngerumpi,” pesannya.

Sebelumnya, Pemprov DKI Jakarta menggelar vaksinasi covid-19 bagi pekerja seni hari ini bersamaan dengan terus berlanjutnya vaksinasi Covid-19 bagi jurnalis bertempat di Balai Kota DKI Jakarta, Jl Medan Merdeka Selatan No 8, Gambir, Jakarta Pusat. (Put/OL-09)"
9,Pemerintah Kejar 22 Obligor Tagih Dana BLBI,"KEMENTERIAN Keuangan berupaya menagih dana Bantuan Likuiditas Bank Indonesia (BLBI) senilai Rp110 triliun kepada 22 obligor. Pengumpulan dokumen dan berkas-berkas yang dibutuhkan saat ini tengah dilakukan untuk melakukan penagihan.

""Aset ini sudah 20 tahuh lalu. Jadi dokumentasinya akan terus kami lakukan koleksi dari berbagai macam sumber. Kami akan terus memperbaiki dari sisi informasi dan supporting document supaya bisa dieksekusi,"" tutur Menteri Keuangan Sri Mulyani Indrawati dalamm konferensi pers APBN secara virtual, Kamis (22/4).

Dia mengatakan dari 22 obligor yang akan ditagih tersebut, terdapat sekitar 12 ribu berkas debitur. Itu akan didalami dan diselidiki oleh tim investigasi untuk mendapatkan aset-aset dari BLBI.

Baca juga: Ini Alasan Pemerintah Bentuk Satgas Penagihan BLBI

Namun Sri Mulyani enggan merinci 22 obligor yang dimaksud. Menurutnya, hal itu akan disampaikan oleh satgas yang dibentuk pemerintah.

Diketahui pemerintah membentuk Satuan Tugas Penanganan Hak Tagih Negara Dana Bantuan Likuiditas Bank Indonesia. Satgas itu memiliki tenggat waktu untuk menagih uang Rp110 triliun hingga 2023.

Satgas tersebut dibentuk pemerintah setelah Mahkamah Agung memutuskan perkara BLBI merupakan ranah perdata, dan bukan pidana. Akibatnya, Komisi Pemberantasan Korupsi (KPK) menerbitkan Surat Penghentian Penyidikan dan Penuntutan kasus korupsi BLBI. (OL-14)"
